Mon Nov 19 21:21:01 2018	Helsinki	LEHTO.HE	297661600	5.02EUR	5.07EUR	5.11EUR	0.0EUR(1.79%)
Mon Nov 19 21:21:01 2018	Helsinki	BIOBV.HE	50388240	3.37EUR	3.37EUR	3.37EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:01 2018	Helsinki	ALBBV.HE	209967104	13.35EUR	13.45EUR	13.3EUR	-0.0EUR(-0.37%)
Mon Nov 19 21:21:01 2018	Helsinki	REG1V.HE	328012256	13.92EUR	13.94EUR	13.7EUR	-0.0EUR(-1.58%)
Mon Nov 19 21:21:01 2018	Helsinki	NOKIA.HE	28210135040	5.108EUR	5.112EUR	5.044EUR	-0.0EUR(-1.25%)
Mon Nov 19 21:21:08 2018	Helsinki	TELIA1.HE	16881788928	4.01EUR	4.01EUR	3.981EUR	-0.0EUR(-0.72%)
Mon Nov 19 21:21:08 2018	Helsinki	BITTI.HE	209519072	6.02EUR	6.04EUR	5.87EUR	-0.0EUR(-2.49%)
Mon Nov 19 21:21:08 2018	Helsinki	MARAS.HE	14084568	3.37EUR	3.37EUR	3.4EUR	0.0EUR(0.89%)
Mon Nov 19 21:21:08 2018	Helsinki	RESTA.HE	167377344	8.94EUR	9EUR	8.88EUR	-0.0EUR(-0.67%)
Mon Nov 19 21:21:08 2018	Helsinki	ALMA.HE	548741248	6.8EUR	6.78EUR	6.68EUR	-0.0EUR(-1.76%)
Mon Nov 19 21:21:08 2018	Helsinki	SOPRA.HE	6162160	0.399EUR	0.4EUR	0.34EUR	-0.0EUR(-14.79%)
Mon Nov 19 21:21:09 2018	Helsinki	NRE1V.HE	3760261632	27.18EUR	27.24EUR	27.29EUR	0.0EUR(0.4%)
Mon Nov 19 21:21:09 2018	Helsinki	DOV1V.HE	23143774	0.233EUR	0.23EUR	0.233EUR	0.0EUR(0.0%)
Mon Nov 19 21:21:09 2018	Helsinki	UPONOR.HE	665780096	9.105EUR	9.115EUR	9.125EUR	0.0EUR(0.22%)
Mon Nov 19 21:21:09 2018	Helsinki	KAMUX.HE	259917456	6.42EUR	6.5EUR	6.5EUR	0.0EUR(1.25%)
Mon Nov 19 21:21:09 2018	Helsinki	FSKRS.HE	1348215424	16.44EUR	16.6EUR	16.52EUR	0.0EUR(0.49%)
Mon Nov 19 21:21:09 2018	Helsinki	PKK1V.HE	83866576	6.75EUR	6.75EUR	6.7EUR	-0.0EUR(-0.74%)
Mon Nov 19 21:21:16 2018	Helsinki	OKDAV.HE	447521920	2.46EUR	2.46EUR	2.45EUR	-0.0EUR(-0.41%)
Mon Nov 19 21:21:16 2018	Helsinki	EFO1V.HE	7839945	0.1525EUR	0.1535EUR	0.15EUR	-0.0EUR(-1.64%)
Mon Nov 19 21:21:16 2018	Helsinki	GLA1V.HE	79837824	0.415EUR	0.415EUR	0.414EUR	-0.0EUR(-0.24%)
Mon Nov 19 21:21:16 2018	Helsinki	UUTEC.HE	21414144	0.379EUR	0.379EUR	0.379EUR	0.0EUR(0.0%)
